id, test_mean,val_mean,train_mean,test_acc_std,val_acc_std,epoch
cora_text_random, a8.28232971372162,93.67588932806325,99.88732394366198,0.0,0.0,100
cora_none_random, 86.87068114511352,92.68774703557312,100.0,0.0,0.0, 100
pubmed-ELPH-False,72.05550541516246,84.2283393501805,100.0,0.0,0.0,100
cora-ELPH-False,86.87068114511352,92.68774703557312,100.0,0.0,0.0,100
pubmed-BUDDY-False,70.74684115523465,84.25090252707581,100.0,0.0,0.0,100
cora-BUDDY-False,84.3040473840079,91.10671936758892,100.0,0.0,0.0,100
pubmed-ELPH-True,44.73149819494584,58.664259927797836,91.97176743586438,0.0,0.0,100
cora-ELPH-True,79.56564659427443,93.87351778656127,99.88732394366198,0.0,0.0,100
pubmed-BUDDY-True,56.81407942238267,70.64530685920577,99.88719865927548,0.0,0.0,100
cora-BUDDY-True,84.00789733464956,95.0592885375494,100.0,0.0,0.0,100
72.08935018050542,84.2283393501805,100.0,0.0,0.0
78.08489634748273,93.67588932806325,99.88732394366198,0.0,0.0
